,control,spacing,trial,p_value,sig_bins,total_bins,shuffled_ran,calculated_grid_spacing,grid_score,hd_score,grid_spacing
169,False,58.0,2.0,0.0005645641578878402,20.0,80.0,True,60.661959250894526,1.0817119236519397,0.13421944196829935,60.661959250894526
170,False,58.0,1.0,0.000536299530926331,30.0,80.0,True,62.23238867485536,0.9634526455499458,0.03592068515669276,62.23238867485536
171,False,44.0,4.0,2.2335258194775122e-05,41.0,120.0,True,45.805103913579885,1.0890461119336015,0.019642814377782994,45.805103913579885
172,False,54.0,3.0,0.000565016603281485,24.0,80.0,True,56.778962541226896,1.1770956404759791,0.02612090760219515,56.778962541226896
173,False,26.0,2.0,,,,False,112.7020537307229,-0.2640614432279962,0.02280219075345665,112.7020537307229
174,False,28.0,0.0,,,,False,87.05073637831288,0.10127686512457794,0.028797458419360898,87.05073637831288
175,False,40.0,3.0,0.000536299530926331,30.0,80.0,True,39.68596916188628,0.7373883149770555,0.08675362127899364,39.68596916188628
176,False,24.0,3.0,,,,False,68.82025164438045,-0.13215651125240369,0.02720440472186018,68.82025164438045
177,False,38.0,4.0,,,,False,39.24681014800744,1.057187545366981,0.002226705565674137,39.24681014800744
178,False,58.0,0.0,0.000564112049923072,25.0,80.0,True,60.20493417781579,0.9932865100016268,0.030846932466759354,60.20493417781579
179,False,38.0,0.0,0.00010860931882296261,37.0,100.0,True,38.514361484091744,0.6981005200217695,0.025991675821905556,38.514361484091744
180,False,12.0,2.0,,,,False,65.22956018094033,-0.47622501323503635,0.015422933066892151,65.22956018094033
181,False,92.0,2.0,0.014378938734372038,5.0,40.0,True,95.65534287046879,0.7515249025513802,0.018058685269034962,95.65534287046879
182,False,44.0,1.0,,,,False,46.18149001827085,1.042891195945522,0.03230779457958984,46.18149001827085
183,False,18.0,2.0,,,,False,89.64261763075595,0.8386470181450565,0.05016385892114181,89.64261763075595
184,False,16.0,2.0,,,,False,72.78865391716558,-0.2641054992598361,0.036363985598217664,72.78865391716558
185,False,78.0,2.0,0.0027175589195451984,22.0,60.0,True,88.35314322780957,0.6686751501150514,0.2218977987409384,88.35314322780957
186,False,60.0,2.0,0.009787287029522468,17.0,80.0,True,63.047951052333,0.9526160241578148,0.16231078708594893,63.047951052333
187,False,24.0,2.0,,,,False,107.7589523384695,-0.2845176675291164,0.07363319772204723,107.7589523384695
188,False,22.0,1.0,,,,False,108.62979416011027,-0.17179541628075862,0.023603983210618615,108.62979416011027
189,False,28.0,3.0,,,,False,102.72715045729967,-0.20094588078149872,0.05750691681976809,102.72715045729967
190,False,40.0,0.0,1.9171385177147542e-05,47.0,160.0,True,40.22957664202853,0.9541578944576588,0.015632972281958965,40.22957664202853
191,False,42.0,0.0,,,,False,42.65825235126961,1.0432612060049422,0.0065721779218214415,42.65825235126961
192,False,88.0,2.0,0.0027175589195451984,23.0,60.0,True,93.63095435746835,0.5034540147808546,0.21065711301328943,93.63095435746835
193,False,64.0,0.0,0.000536299530926331,26.0,80.0,True,66.23062291715952,0.9610154208245165,0.15362178904938156,66.23062291715952
194,False,20.0,0.0,,,,False,89.87329840659785,-0.2691023875644757,0.026092341234099443,89.87329840659785
195,False,76.0,0.0,0.0027175589195451984,22.0,60.0,True,84.84907592019661,0.7672297879086251,0.20149813578243286,84.84907592019661
196,False,12.0,1.0,,,,False,98.93670750079053,-0.0814249735365427,0.02797103703848857,98.93670750079053
197,False,68.0,1.0,0.0027175589195451984,16.0,60.0,True,77.96998263769184,0.7476338013355026,0.22370292114983537,77.96998263769184
