,control,trial,length_minutes,p_value,sig_bins,total_bins,shuffled_ran,calculated_grid_spacing,grid_score,field_size,hd_score,id,corr_between_frac_0_01
170,False,8.0,40.0,2.2335258194775122e-05,43,120,True,48.87429933427882,1.0103543415875071,5.254524007228157,0.03891770521740038,40.0_8.0,0.7428571428571429
171,False,17.0,40.0,4.650663710441662e-06,64,140,True,50.27344179105825,1.0904117598425296,5.007693376343903,0.07913873529282042,40.0_17.0,0.7916666666666666
172,False,5.0,40.0,2.2335258194775122e-05,43,120,True,49.954578623476905,0.9821754787404811,5.443936646892927,0.04342380257718193,40.0_5.0,0.7428571428571429
173,False,12.0,40.0,4.650663710441662e-06,43,140,True,48.25554429340529,1.0741786813597933,5.3025115238676035,0.09028082623058051,40.0_12.0,0.625
174,False,8.0,150.0,2.2335258194775122e-05,77,120,True,51.17541208180852,1.0950224132302888,5.350068633107469,0.012625167580217204,150.0_8.0,0.7142857142857143
175,False,12.0,150.0,4.650663710441662e-06,82,140,True,50.48432900830303,1.1480959249168845,5.350068633107469,0.13121293275886983,150.0_12.0,0.8541666666666666
176,False,7.0,150.0,2.2335258194775122e-05,68,120,True,50.59228805883655,1.064501183338053,5.254524007228157,0.06061994693196525,150.0_7.0,0.8
177,False,11.0,150.0,2.2335258194775122e-05,77,120,True,51.29642364249875,1.1013306098498465,5.206094181276915,0.0877524493507975,150.0_11.0,0.8285714285714286
178,False,5.0,150.0,2.2335258194775122e-05,85,120,True,50.43599531490089,1.1014304251828104,5.350068633107469,0.07151913010190028,150.0_5.0,0.6857142857142857
179,False,6.0,150.0,2.2335258194775122e-05,66,120,True,50.11878928317795,1.0701282890524466,5.443936646892927,0.1281147366776046,150.0_6.0,0.7714285714285715
180,False,19.0,150.0,2.2335258194775122e-05,83,120,True,49.64042527715783,1.1443759282542139,5.3025115238676035,0.04263494927561755,150.0_19.0,0.8571428571428571
181,False,4.0,150.0,4.650663710441662e-06,86,140,True,50.35751576488708,1.0605406615402608,5.3025115238676035,0.05685133565704514,150.0_4.0,0.8125
182,False,15.0,150.0,0.00010854035667974223,65,100,True,50.76786152113162,1.1696714185023944,5.626976975981913,0.07399441656804248,150.0_15.0,0.8333333333333334
183,False,3.0,150.0,4.650663710441662e-06,63,140,True,50.64150322938655,1.127748971018858,5.490268858042882,0.04035095224067965,150.0_3.0,0.75
